"cohort","time","pG","pI","pA"
1980,2000,0.188902007083825,0.282172373081464,0.528925619834711
1980,2001,0.179456906729634,0.290436835891381,0.530106257378985
1980,2002,0.153482880755608,0.295159386068477,0.551357733175915
1980,2003,0.168831168831169,0.264462809917355,0.566706021251476
1980,2004,0.165289256198347,0.264462809917355,0.570247933884298
1980,2005,0.17827626918536,0.256198347107438,0.565525383707202
1980,2006,0.160566706021251,0.244391971664699,0.59504132231405
1980,2007,0.165289256198347,0.264462809917355,0.570247933884298
1980,2008,0.172373081463991,0.256198347107438,0.571428571428571
1980,2009,0.161747343565525,0.255017709563164,0.583234946871311
1980,2010,0.164108618654073,0.272727272727273,0.563164108618654
1981,2000,0.244582043343653,0.30546955624355,0.449948400412797
1981,2001,0.21671826625387,0.307533539731682,0.475748194014448
1981,2002,0.203302373581011,0.297213622291022,0.499484004127967
1981,2003,0.215686274509804,0.278637770897833,0.505675954592363
1981,2004,0.205366357069143,0.248710010319917,0.545923632610939
1981,2005,0.212590299277606,0.264189886480908,0.523219814241486
1981,2006,0.196078431372549,0.260061919504644,0.543859649122807
1981,2007,0.192982456140351,0.253869969040248,0.553147574819401
1981,2008,0.192982456140351,0.253869969040248,0.553147574819401
1981,2009,0.186790505675955,0.237358101135191,0.575851393188854
1981,2010,0.209494324045408,0.230134158926729,0.560371517027864
1982,2000,0.267258382642998,0.281065088757396,0.451676528599605
1982,2001,0.227810650887574,0.304733727810651,0.467455621301775
1982,2002,0.20414201183432,0.27810650887574,0.517751479289941
1982,2003,0.209072978303748,0.255424063116371,0.535502958579882
1982,2004,0.181459566074951,0.2534516765286,0.56508875739645
1982,2005,0.212031558185404,0.235700197238659,0.552268244575937
1982,2006,0.17258382642998,0.241617357001972,0.585798816568047
1982,2007,0.176528599605523,0.239644970414201,0.583826429980276
1982,2008,0.205128205128205,0.214990138067061,0.579881656804734
1982,2009,0.190335305719921,0.235700197238659,0.57396449704142
1982,2010,0.185404339250493,0.212031558185404,0.602564102564103
1983,2000,0.34247871333964,0.241248817407758,0.416272469252602
1983,2001,0.270577105014191,0.293282876064333,0.436140018921476
1983,2002,0.223273415326395,0.280983916745506,0.495742667928098
1983,2003,0.195837275307474,0.276253547776727,0.527909176915799
1983,2004,0.182592242194891,0.260170293282876,0.557237464522233
1983,2005,0.187322611163671,0.275307473982971,0.537369914853359
1983,2006,0.183538315988647,0.242194891201514,0.574266792809839
1983,2007,0.176915799432356,0.236518448438978,0.586565752128666
1983,2008,0.174077578051088,0.235572374645222,0.59035004730369
1983,2009,0.164616840113529,0.252601702932829,0.582781456953642
1983,2010,0.1759697256386,0.241248817407758,0.582781456953642
1984,2000,0.399038461538462,0.234615384615385,0.366346153846154
1984,2001,0.344230769230769,0.255769230769231,0.4
1984,2002,0.251923076923077,0.285576923076923,0.4625
1984,2003,0.220192307692308,0.304807692307692,0.475
1984,2004,0.178846153846154,0.277884615384615,0.543269230769231
1984,2005,0.167307692307692,0.272115384615385,0.560576923076923
1984,2006,0.159615384615385,0.231730769230769,0.608653846153846
1984,2007,0.158653846153846,0.251923076923077,0.589423076923077
1984,2008,0.163461538461538,0.236538461538462,0.6
1984,2009,0.153846153846154,0.238461538461538,0.607692307692308
1984,2010,0.165384615384615,0.230769230769231,0.603846153846154
